Year,Group,Count
2024,Cat,766
2024,Bird,220
2024,Dog,114
2024,Fox,89
2024,Deer,20
2024,Unknown,16
2024,Squirrel,10
2024,Horse,7
2024,Rat,2
2024,Lizard,2
2024,Fish,1
2024,Dolphin,1
2024,Ferret,1
2024,Hedgehog,1
2023,Cat,707
2023,Bird,200
2023,Dog,119
2023,Fox,89
2023,Unknown,27
2023,Deer,24
2023,Squirrel,9
2023,Horse,8
2023,Rabbit,4
2023,Hamster or Guinea Pig,2
2023,Chicken,1
2023,Goat,1
2023,Ferret,1
2023,Lizard,1
2022,Cat,565
2022,Bird,198
2022,Dog,114
2022,Fox,80
2022,Unknown,22
2022,Deer,16
2022,Horse,13
2022,Squirrel,10
2022,Hedgehog,3
2022,Rabbit,3
2022,Snake,2
2022,Hamster or Guinea Pig,1
2022,Ferret,1
2022,Sheep,1
2021,Cat,415
2021,Bird,215
2021,Dog,118
2021,Fox,64
2021,Unknown,31
2021,Deer,17
2021,Squirrel,8
2021,Snake,6
2021,Horse,6
2021,Ferret,1
2021,Cow,1
2021,Goat,1
2021,Hamster or Guinea Pig,1
2021,Sheep,1
2020,Cat,338
2020,Bird,216
2020,Dog,75
2020,Fox,61
2020,Unknown,20
2020,Deer,17
2020,Horse,17
2020,Squirrel,7
2020,Hamster or Guinea Pig,2
2020,Fish,1
2020,Cow,1
2020,Goat,1
2020,Snake,1
2020,Sheep,1
2019,Cat,269
2019,Bird,141
2019,Dog,75
2019,Fox,32
2019,Unknown,29
2019,Horse,15
2019,Deer,14
2019,Squirrel,12
2019,Rabbit,4
2019,Snake,3
2019,Ferret,3
2019,Cow,2
2019,Hamster or Guinea Pig,2
2019,Chicken,2
2019,Hedgehog,1
2018,Cat,305
2018,Bird,128
2018,Dog,91
2018,Fox,33
2018,Deer,17
2018,Unknown,13
2018,Horse,12
2018,Squirrel,5
2018,Rabbit,2
2018,Pig,1
2018,Ferret,1
2018,Lizard,1
2018,Snake,1
2017,Cat,258
2017,Bird,125
2017,Dog,81
2017,Fox,33
2017,Unknown,13
2017,Deer,11
2017,Horse,10
2017,Squirrel,5
2017,Hamster or Guinea Pig,1
2017,Seal,1
2017,Snake,1
2016,Cat,297
2016,Bird,120
2016,Dog,107
2016,Fox,29
2016,Deer,14
2016,Horse,12
2016,Unknown,11
2016,Hamster or Guinea Pig,4
2016,Squirrel,3
2016,Rabbit,2
2016,Seal,1
2016,Cow,1
2016,Snake,1
2016,Bear,1
2016,Sheep,1
2015,Cat,263
2015,Bird,106
2015,Dog,88
2015,Unknown,36
2015,Fox,21
2015,Horse,12
2015,Deer,6
2015,Squirrel,5
2015,Sheep,1
2015,Tortoise,1
2015,Ferret,1
2014,Cat,298
2014,Bird,111
2014,Dog,90
2014,Unknown,37
2014,Fox,22
2014,Horse,12
2014,Deer,5
2014,Rabbit,3
2014,Squirrel,2
2014,Hamster or Guinea Pig,1
2014,Goat,1
2014,Cow,1
2013,Cat,313
2013,Dog,93
2013,Bird,86
2013,Unknown,33
2013,Fox,25
2013,Horse,16
2013,Deer,7
2013,Squirrel,7
2013,Hamster or Guinea Pig,3
2013,Snake,2
2012,Cat,306
2012,Bird,112
2012,Dog,100
2012,Horse,28
2012,Unknown,26
2012,Fox,14
2012,Deer,7
2012,Squirrel,4
2012,Cow,3
2012,Ferret,1
2012,Sheep,1
2012,Lamb,1
2011,Cat,309
2011,Bird,121
2011,Dog,103
2011,Fox,26
2011,Horse,22
2011,Unknown,21
2011,Deer,9
2011,Squirrel,4
2011,Hamster or Guinea Pig,3
2011,Ferret,2
2010,Cat,297
2010,Dog,122
2010,Bird,99
2010,Unknown,35
2010,Fox,17
2010,Horse,15
2010,Deer,9
2010,Squirrel,5
2010,Cow,3
2010,Hamster or Guinea Pig,3
2010,Fish,2
2010,Rabbit,2
2010,Lizard,1
2010,Lamb,1
2009,Cat,263
2009,Dog,132
2009,Bird,89
2009,Unknown,30
2009,Horse,19
2009,Fox,16
2009,Deer,8
2009,Squirrel,4
2009,Snake,3
2009,Lizard,1
2009,Hedgehog,1
2009,Rabbit,1
2009,Sheep,1
